id,Survived,Pclass,Age,Fare,female,male
0,0,3,22.0,7.25,0,1
1,1,1,38.0,71.2833,1,0
2,1,3,26.0,7.925,1,0
3,1,1,35.0,53.1,1,0
4,0,3,35.0,8.05,0,1
5,0,3,29.69911764705882,8.4583,0,1
6,0,1,54.0,51.8625,0,1
7,0,3,2.0,21.075,0,1
8,1,3,27.0,11.1333,1,0
9,1,2,14.0,30.0708,1,0
10,1,3,4.0,16.7,1,0
11,1,1,58.0,26.55,1,0
12,0,3,20.0,8.05,0,1
13,0,3,39.0,31.275,0,1
14,0,3,14.0,7.8542,1,0
15,1,2,55.0,16.0,1,0
16,0,3,2.0,29.125,0,1
17,1,2,29.69911764705882,13.0,0,1
18,0,3,31.0,18.0,1,0
19,1,3,29.69911764705882,7.225,1,0
20,0,2,35.0,26.0,0,1
21,1,2,34.0,13.0,0,1
22,1,3,15.0,8.0292,1,0
23,1,1,28.0,35.5,0,1
24,0,3,8.0,21.075,1,0
25,1,3,38.0,31.3875,1,0
26,0,3,29.69911764705882,7.225,0,1
27,0,1,19.0,263.0,0,1
28,1,3,29.69911764705882,7.8792,1,0
29,0,3,29.69911764705882,7.8958,0,1
30,0,1,40.0,27.7208,0,1
31,1,1,29.69911764705882,146.5208,1,0
32,1,3,29.69911764705882,7.75,1,0
33,0,2,66.0,10.5,0,1
34,0,1,28.0,82.1708,0,1
35,0,1,42.0,52.0,0,1
36,1,3,29.69911764705882,7.2292,0,1
37,0,3,21.0,8.05,0,1
38,0,3,18.0,18.0,1,0
39,1,3,14.0,11.2417,1,0
40,0,3,40.0,9.475,1,0
41,0,2,27.0,21.0,1,0
42,0,3,29.69911764705882,7.8958,0,1
43,1,2,3.0,41.5792,1,0
44,1,3,19.0,7.8792,1,0
45,0,3,29.69911764705882,8.05,0,1
46,0,3,29.69911764705882,15.5,0,1
47,1,3,29.69911764705882,7.75,1,0
48,0,3,29.69911764705882,21.6792,0,1
49,0,3,18.0,17.8,1,0
50,0,3,7.0,39.6875,0,1
51,0,3,21.0,7.8,0,1
52,1,1,49.0,76.7292,1,0
53,1,2,29.0,26.0,1,0
54,0,1,65.0,61.9792,0,1
55,1,1,29.69911764705882,35.5,0,1
56,1,2,21.0,10.5,1,0
57,0,3,28.5,7.2292,0,1
58,1,2,5.0,27.75,1,0
59,0,3,11.0,46.9,0,1
60,0,3,22.0,7.2292,0,1
61,1,1,38.0,80.0,1,0
62,0,1,45.0,83.475,0,1
63,0,3,4.0,27.9,0,1
64,0,1,29.69911764705882,27.7208,0,1
65,1,3,29.69911764705882,15.2458,0,1
66,1,2,29.0,10.5,1,0
67,0,3,19.0,8.1583,0,1
68,1,3,17.0,7.925,1,0
69,0,3,26.0,8.6625,0,1
70,0,2,32.0,10.5,0,1
71,0,3,16.0,46.9,1,0
72,0,2,21.0,73.5,0,1
73,0,3,26.0,14.4542,0,1
74,1,3,32.0,56.4958,0,1
75,0,3,25.0,7.65,0,1
76,0,3,29.69911764705882,7.8958,0,1
77,0,3,29.69911764705882,8.05,0,1
